phrase_id,catalog,family,event,mode,english_current,norwegian_current,english_v2,norwegian_v2,active_status,action,notes
"zone.above.default.1","instruction","zone.above","above_zone","HR","Ease off and regain control.","Litt ned. Finn kontroll.","Ease off slightly.","Ro ned litt.","active","replace_text","calmer HR correction"
"zone.below.default.1","instruction","zone.below","below_zone","HR","Build effort slightly now.","Litt opp i innsats nå.","Pick it up slightly.","Øk litt nå.","active","replace_text","simpler HR correction"
"zone.in_zone.default.1","instruction","zone.in_zone","in_zone","HR","Nice. Hold this zone.","Bra. Hold deg her.","Stay right here.","Bli her.","active","replace_text","clearer hold cue"
"zone.silence.work.1","instruction","zone.silence","max_silence_hold","BOTH","Stay controlled. Rep by rep.","Hold kontroll. Ett drag av gangen.","One rep at a time.","Ett drag av gangen.","active","replace_text","low-urgency hold guidance"
"zone.silence.rest.1","instruction","zone.silence","max_silence_hold","BOTH","Stay easy between reps.","Rolig mellom dragene.","Let it settle.","La det roe seg.","active","replace_text","low-urgency hold guidance"
"zone.silence.default.1","instruction","zone.silence","max_silence_hold","BOTH","Hold steady rhythm.","Hold jevn rytme.","Hold the rhythm.","Hold rytmen.","active","replace_text","low-urgency hold guidance"
"zone.structure.work.1","instruction","zone.structure.work","interval_start","NO_HR","Pick it up now.","Kjør på nå.","Pick it up now.","Kjør på nå.","active","record_missing","already good, missing from current pack"
"zone.structure.recovery.1","instruction","zone.structure.recovery","recovery_start","NO_HR","Ease back and recover.","Ro ned og hent deg inn.","Ease back and recover.","Ro ned og hent deg inn.","active","record_missing","already good, missing from current pack"
"zone.structure.steady.1","instruction","zone.structure.steady","steady_run","NO_HR","Settle into the pace.","Finn rytmen.","Settle into the pace.","Finn rytmen.","active","record_missing","already good, missing from current pack"
"zone.structure.steady.2","instruction","zone.structure.steady","steady_run","NO_HR","Hold this rhythm.","Hold denne rytmen.","Hold this rhythm.","Hold denne rytmen.","active","record_missing","already good, missing from current pack"
"zone.structure.steady.3","instruction","zone.structure.steady","steady_run","NO_HR","Stay smooth and relaxed.","Hold deg rolig og avslappet.","Stay smooth and relaxed.","Rolig og avslappet.","active","replace_text","tighten Norwegian"
"zone.structure.steady.4","instruction","zone.structure.steady","steady_run","NO_HR","Control the effort here.","Kontroller innsatsen her.","Control the effort here.","Kontroll på innsatsen.","active","replace_text","more natural Norwegian"
"zone.structure.steady.5","instruction","zone.structure.steady","steady_run","NO_HR","Keep the pace steady.","Hold tempoet jevnt.","Keep the pace steady.","Hold tempoet jevnt.","active","record_missing","already good, missing from current pack"
"zone.structure.steady.6","instruction","zone.structure.steady","steady_run","NO_HR","Let it settle here.","La det sette seg her.","Let it settle here.","La det roe seg.","active","replace_text","more natural Norwegian"
"zone.structure.finish.1","instruction","zone.structure.finish","final_effort","NO_HR","Drive the pace now.","Trykk til nå.","Drive the pace now.","Trykk til nå.","active","record_missing","already good, missing from current pack"
"zone.phase.warmup.1","context","zone.phase.warmup","warmup","BOTH","Warm-up now. Keep it easy.","Nå er vi i oppvarmingsdelen.","Warm-up now.","Nå varmer du opp.","active","replace_text","shorter and cleaner"
"zone.main_started.1","context","zone.main_started","main_started","BOTH","Main set now. Stay controlled.","Bra jobba","Main set now.","Nå er du i hoveddelen.","active","replace_text","current NO is wrong semantic class"
"zone.phase.work.default.1","context","zone.phase.work","phase_change_work","BOTH","Work block. Controlled hard.","Dragstart. Kontroller hardt.","Work block now.","Drag nå.","compatibility","replace_text","good shared transition line"
"zone.phase.work.motivational.1","context","zone.phase.work","phase_change_work","BOTH","New work block. Controlled hard now.","Nytt drag. Sterk kontroll nå.","New work block.","Nytt drag.","compatibility","replace_text","alternate transition line"
"zone.phase.rest.1","context","zone.phase.rest","phase_change_rest","BOTH","Recovery block. Easy jog.","Pauseblokk. Rolig jogg.","Recovery now. Easy jog.","Pause nå. Rolig jogg.","compatibility","replace_text","better than Pauseblokk"
"zone.phase.cooldown.1","context","zone.phase.cooldown","cooldown","BOTH","Cooldown now. Bring it down.","Nedjogg nå. Ro ned.","Cooldown now. Easy jog.","Nedjogg nå. Rolig jogg.","active","replace_text","shared neutral cooldown"
"zone.hr_poor_enter.1","context","zone.hr_poor_enter","hr_signal_lost","HR","Heart rate signal is weak.","Pulssignalet er svakt.","Heart rate signal is weak.","Pulssignalet er svakt.","active","keep","already aligned"
"zone.hr_poor_exit.1","context","zone.hr_poor_exit","hr_signal_restored","HR","Heart rate is back.","Pulsen er tilbake.","Heart rate is back.","Pulsen er tilbake.","active","keep","already aligned"
"zone.hr_poor_timing.1","context","zone.hr_poor_timing","no_hr_mode_notice","NO_HR","No heart rate signal. Coaching by timing.","Ingen pulssignal. Jeg coacher på timing.","No heart rate signal. Coaching by timing.","Ingen pulssignal. Jeg coacher på tid.","active","replace_text","preserve locked policy"
"zone.pause.detected.1","context","zone.pause","pause_detected","BOTH","Paused. Start easy when ready.","Pause. Start rolig når du er klar.","Paused. Start easy.","Pause. Start rolig.","active","replace_text","shorter"
"zone.pause.resumed.1","context","zone.pause","pause_resumed","BOTH","Good. You're moving again.","Bra. Du er i gang.","You're moving again.","Du er i gang igjen.","active","replace_text","less chatty"
"zone.countdown.30","progress","zone.countdown","countdown_30","BOTH","30 seconds left.","30 sekunder igjen.","30 seconds left.","30 sekunder igjen.","active","keep","good"
"zone.countdown.15","progress","zone.countdown","countdown_15","BOTH","15","15","15","15","active","replace_text","align with short style"
"zone.countdown.5","progress","zone.countdown","countdown_5","BOTH","5 seconds left.","5","5 seconds.","5.","active","replace_text","align with short style"
"zone.countdown.start","progress","zone.countdown","countdown_start","BOTH","Go","Start","Go","Start","active","replace_text","simpler transition"
"zone.workout_finished.1","progress","zone.workout_finished","workout_finish","BOTH","Workout finished. Nice work.","Økten er ferdig. Bra jobbet.","Workout finished. Nice work.","Økten er ferdig. Bra jobbet.","active","keep","good"
"zone.watch_disconnected.1","context","zone.watch","watch_lost","DIAGNOSTIC","Watch lost. I'll coach by timing.","Klokken falt ut. Jeg coacher på timing.","Watch lost. Coaching by timing.","Klokken mistet signal. Jeg coacher på tid.","active_secondary","replace_text","secondary, not main switch"
"zone.no_sensors.1","context","zone.no_sensors","no_sensors","DIAGNOSTIC","No sensors now. Run by feel.","Ingen sensorer nå. Løp på følelse.","No sensors available.","Ingen sensorer tilgjengelig.","active_secondary","replace_text","current wording conflicts with no-HR policy"
"zone.watch_restored.1","context","zone.watch","watch_restored","DIAGNOSTIC","Watch back. Zone coaching is back.","Klokken er tilbake. Sonecoaching er tilbake.","Watch is back. Zone coaching is back.","Klokken er tilbake. Sonecoaching er tilbake.","active_secondary","replace_text","secondary restore notice"
"interval.motivate.s1.1","motivation","interval.motivate.s1","interval_sustain_stage_1","HR","Smooth and steady.","Nydelig. Bra tempo.","Smooth and steady.","Rolig og jevnt.","active","replace_text","calmer NO"
"interval.motivate.s1.2","motivation","interval.motivate.s1","interval_sustain_stage_1","HR","Good. Focus on breathing.","Bra. Fokuser på pusten.","Good start.","God start.","active","replace_text","less technical"
"interval.motivate.s2.1","motivation","interval.motivate.s2","interval_sustain_stage_2","HR","Come on!","Kom igjen!","Nice work.","Bra jobba.","active","replace_text","reduce hype"
"interval.motivate.s2.2","motivation","interval.motivate.s2","interval_sustain_stage_2","HR","Lovely!","Herlig!","Hold the rhythm.","Hold rytmen.","active","replace_text","more useful"
"interval.motivate.s3.1","motivation","interval.motivate.s3","interval_sustain_stage_3","HR","You are doing the work!","Bra. Nå gjør du jobben!","Strong work.","Sterkt jobbet.","active","replace_text","shorter"
"interval.motivate.s3.2","motivation","interval.motivate.s3","interval_sustain_stage_3","HR","Keep it smooth and strong.","Fokuser på jevnt tempo.","Stay with it.","Stå i det.","active","replace_text","cleaner"
"interval.motivate.s4.1","motivation","interval.motivate.s4","interval_sustain_stage_4","HR","EVERYTHING. NOW.","ALT. NÅ.","Finish strong.","Avslutt sterkt.","active","replace_text","remove shouting"
"interval.motivate.s4.2","motivation","interval.motivate.s4","interval_sustain_stage_4","HR","COME ON! All the way!","KOM IGJEN! Helt inn nå!","All the way in.","Helt inn nå.","active","replace_text","calm finish"
