Phrase 1,Phrase 2,Phrase 3,Phrase 4,Phrase 5
EN: Good to see you. Let's start with some easy movement and build from there. | NO: Fint at du er her. Vi starter rolig og bygger derfra.,"EN: Ready when you are. Take a breath, settle in, and we'll ease into it. | NO: Klar når du er. Ta et pust, finn roen, så setter vi i gang.",EN: Nice timing. Let's warm up properly and set the tone for a good session. | NO: Bra timing. La oss varme opp ordentlig og legge grunnlaget.,"EN: Let's get moving. Controlled pace to start, then we'll find your rhythm. | NO: La oss komme i gang. Kontrollert tempo til å begynne med.",EN: Welcome back. Focus on how your body feels and we'll build from there. | NO: Velkommen tilbake. Kjenn på kroppen så bygger vi derfra.
"EN: Alright, let's begin. Smooth and steady, no rush. | NO: Ok, la oss begynne. Rolig og jevnt, uten stress.","EN: Good call showing up. Start easy, the intensity will come naturally. | NO: Bra at du dukket opp. Start rolig, intensiteten kommer naturlig.",EN: Great that you're here. We'll start slow and keep it simple. | NO: Fint at du er her. Vi starter sakte og holder det enkelt.,EN: Welcome. Just focus on breathing and moving at your own pace. | NO: Velkommen. Bare fokuser på pusten og beveg deg i ditt tempo.,"EN: Let's begin easy. No pressure, just getting your body warmed up. | NO: La oss starte rolig. Ingen press, bare få kroppen varm."
"EN: Nice to have you. Take it one step at a time, I'll guide you through. | NO: Godt å ha deg her. Ett steg om gangen, jeg guider deg.","EN: You're here, that's the hardest part. Now let's ease into it together. | NO: Du er her, det er det vanskeligste. Nå tar vi det rolig sammen.","EN: Take a moment. Deep breath in, slow breath out. Now let's begin. | NO: Ta et øyeblikk. Dyp innpust, rolig utpust. Nå begynner vi.","EN: Start by finding your breath. Shoulders down, chest open, easy pace. | NO: Start med å finne pusten. Skuldrene ned, brystet åpent, rolig tempo.",EN: Let's connect with your breathing first. Everything else follows from there. | NO: La oss koble på pusten først. Alt annet følger derfra.
"EN: Settle your breath, relax your body. We'll build the intensity gradually. | NO: Finn roen i pusten, slapp av kroppen. Vi bygger intensiteten gradvis.",EN: STOP! Breathe slowly. You're safe. | NO: STOPP! Pust sakte. Du er trygg.,EN: Welcome. Let's start slow. Find your rhythm. | NO: Velkommen. La oss starte rolig. Finn rytmen din.,"EN: Good. Breathe in, and out. Settle your shoulders. | NO: Bra. Pust inn, og ut. Slapp av skuldrene.","EN: Steady now. Don't rush. Warmup first, intensity later. | NO: Rolig nå. Ikke stress. Oppvarming først."
"EN: Easy does it. Focus on breathing, not speed. | NO: Ta det med ro. Fokuser på pusten.",EN: Well done. Let the breath settle. You earned it. | NO: Bra jobbet. La pusten roe seg. Du fortjener det.,EN: Relax. Slow it down. Shoulder and chest relaxed. | NO: Slapp av. Senk tempoet. Skuldre og bryst avslappet.,EN: Good session. Keep calm and controlled. | NO: God økt. Hold deg rolig og kontrollert.,EN: Steady breathing. That's how we finish strong. | NO: Jevn pust. Slik avslutter vi sterkt.
EN: Nice work. You controlled your effort well. | NO: Bra jobbet. Du kontrollerte innsatsen godt.,EN: Maintain control. Pace yourself. Don't overdo it. | NO: Behold kontrollen. Hold tempoet. Ikke overdrive.,"EN: Good. Keep that rhythm. Slightly faster, not frantic. | NO: Bra. Hold rytmen. Litt raskere, ikke hektisk.",EN: PUSH! Harder! | NO: TRYKK! Hardere!,EN: You got more! | NO: Du har mer!
"EN: Good. Keep that rhythm. Slightly faster, not frantic. | NO: Bra. Hold rytmen. Litt raskere, ikke hektisk.","EN: Steady arms, steady breath. That's it. | NO: Sterke armer, stø pust. Der ja.",EN: Keep going! Don't stop! | NO: Fortsett! Ikke stopp!,EN: Good! Hold the pace! | NO: Bra! Hold tempoet!,EN: Breathing quickened. Slow down a touch. | NO: Pusten øker. Senk litt.
EN: Maintain control. Pace yourself. Don't overdo it. | NO: Behold kontrollen. Hold tempoet.,"EN: One more interval like this and you're done. Focus. | NO: En runde til slik, så er du ferdig. Fokus.",EN: YES! Hold on! Ten more! | NO: JA! Hold ut! Ti til!,EN: STOP! | NO: STOPP!,EN: Breathe slow! | NO: Pust rolig!
EN: Easy now! | NO: Ta det rolig!,EN: Slow down! | NO: Senk farten!,EN: Too hard! | NO: For hardt!,"EN: Easy pace, nice start. | NO: Rolig tempo, fin start.","EN: Steady, good warmup. | NO: Jevnt, god oppvarming."
"EN: Gentle, keep warming up. | NO: Rolig, fortsett oppvarmingen.",EN: Nice and easy. | NO: Fint og rolig.,EN: Perfect warmup pace. | NO: Perfekt oppvarmingstempo.,"EN: Bring it down, easy now. | NO: Senk tempoet, ta det rolig nå.","EN: Slow breaths, good cooldown. | NO: Rolige pust, god nedkjøling."
"EN: Ease off, nice work. | NO: Slipp av, bra jobbet.","EN: Almost done, slow it. | NO: Nesten ferdig, senk farten.","EN: Perfect, keep slowing down. | NO: Perfekt, fortsett å roe ned.",EN: You can push harder! | NO: Du kan presse hardere!,"EN: More effort, you got this! | NO: Mer innsats, du klarer det!"
EN: Speed up a bit! | NO: Øk tempoet.,EN: Give me more power! | NO: Mer press nå!,EN: Let's pick up the pace! | NO: La oss øke farten!,"EN: Keep going, good pace! | NO: Fortsett, godt tempo!",EN: Stay with it! | NO: Hold deg fokusert!
"EN: Nice rhythm, maintain! | NO: Bra tempo!",EN: You got this! | NO: Du klarer det!,"EN: Good work, keep steady! | NO: Bra jobba! Hold jevnt tempo.",EN: Perfect! Hold it! | NO: Perfekt! Hold tempoet!,EN: Yes! Strong! | NO: Ja! Sterkt!
EN: Keep this! | NO: Behold dette!,EN: Excellent work! | NO: Utmerket jobbet!,EN: Ten more seconds! | NO: Ti sekunder til!,EN: Warming up?! We're WASTING TIME! | NO: Oppvarming?! Vi KASTER BORT TID!,EN: Move FASTER or go home! | NO: Beveg deg RASKERE eller gå hjem!
EN: My GRANDMOTHER warms up faster! | NO: BESTEMORA mi varmer opp raskere!,EN: This is PATHETIC! Let's GO! | NO: Dette er PATETISK! La oss KJØRE!,EN: You call this a warmup? I call it a NAP! | NO: Kaller du dette oppvarming? Jeg kaller det en LITEN BLUND!,EN: PATHETIC! My grandma pushes harder! | NO: PATETISK! Bestemora mi presser hardere!,EN: Are you even TRYING?! MOVE! | NO: PRØVER du i det hele tatt?! BEVEG DEG!
