index,id,section,bucket,persona,priority,en,no,workout_catalog,motivation_stage,instruction_urgency
1,coach.critical.1,coach.critical,coach.critical.1,personal_trainer,core,STOP! Breathe slowly. You're safe.,STOPP! Pust sakte. Du er trygg.,,,
2,coach.warmup.1,coach.warmup,coach.warmup.1,personal_trainer,core,Welcome. Let's start slow. Find your rhythm.,Velkommen. La oss starte rolig. Finn rytmen din.,,,
3,coach.warmup.2,coach.warmup,coach.warmup.2,personal_trainer,core,"Good. Breathe in, and out. Settle your shoulders.","Bra. Pust inn, og ut. Slapp av skuldrene.",,,
4,coach.warmup.3,coach.warmup,coach.warmup.3,personal_trainer,core,"Steady now. Don't rush. Warmup first, intensity later.",Rolig nå. Ikke stress. Oppvarming først.,,,
5,coach.warmup.4,coach.warmup,coach.warmup.4,personal_trainer,core,"Easy does it. Focus on breathing, not speed.",Ta det med ro. Fokuser på pusten.,,,
6,coach.cooldown.1,coach.cooldown,coach.cooldown.1,personal_trainer,core,Well done. Let the breath settle. You earned it.,Bra jobbet. La pusten roe seg. Du fortjener det.,,,
7,coach.cooldown.2,coach.cooldown,coach.cooldown.2,personal_trainer,core,Relax. Slow it down. Shoulder and chest relaxed.,Slapp av. Senk tempoet. Skuldre og bryst avslappet.,,,
8,coach.cooldown.3,coach.cooldown,coach.cooldown.3,personal_trainer,core,Good session. Keep calm and controlled.,God økt. Hold deg rolig og kontrollert.,,,
9,coach.cooldown.4,coach.cooldown,coach.cooldown.4,personal_trainer,core,Steady breathing. That's how we finish strong.,Jevn pust. Slik avslutter vi sterkt.,,,
10,coach.cooldown.5,coach.cooldown,coach.cooldown.5,personal_trainer,core,Nice work. You controlled your effort well.,Bra jobbet. Du kontrollerte innsatsen godt.,,,
11,coach.intense.calm.1,coach.intense,coach.intense.calm,personal_trainer,core,Maintain control. Pace yourself. Don't overdo it.,Behold kontrollen. Hold tempoet. Ikke overdrive.,,,
12,coach.intense.calm.2,coach.intense,coach.intense.calm,personal_trainer,core,"Good. Keep that rhythm. Slightly faster, not frantic.","Bra. Hold rytmen. Litt raskere, ikke hektisk.",,,
13,coach.intense.calm.3,coach.intense,coach.intense.calm,personal_trainer,core,PUSH! Harder!,TRYKK! Hardere!,,,
14,coach.intense.calm.4,coach.intense,coach.intense.calm,personal_trainer,core,You got more!,Du har mer!,,,
15,coach.intense.moderate.1,coach.intense,coach.intense.moderate,personal_trainer,core,"Good. Keep that rhythm. Slightly faster, not frantic.","Bra. Hold rytmen. Litt raskere, ikke hektisk.",,,
16,coach.intense.moderate.2,coach.intense,coach.intense.moderate,personal_trainer,core,"Steady arms, steady breath. That's it.","Sterke armer, stø pust. Der ja.",,,
17,coach.intense.moderate.3,coach.intense,coach.intense.moderate,personal_trainer,core,Keep going! Don't stop!,Fortsett! Ikke stopp!,,,
18,coach.intense.moderate.4,coach.intense,coach.intense.moderate,personal_trainer,core,Good! Hold the pace!,Bra! Hold tempoet!,,,
19,coach.intense.intense.1,coach.intense,coach.intense.intense,personal_trainer,core,Breathing quickened. Slow down a touch.,Pusten øker. Senk litt.,,,
20,coach.intense.intense.2,coach.intense,coach.intense.intense,personal_trainer,core,Maintain control. Pace yourself. Don't overdo it.,Behold kontrollen. Hold tempoet.,,,
21,coach.intense.intense.3,coach.intense,coach.intense.intense,personal_trainer,core,One more interval like this and you're done. Focus.,"En runde til slik, så er du ferdig. Fokus.",,,
