phrase_id	catalog	family	event	mode	english_locked	norwegian_locked	active_status	action	record_now	approved_for_import	approved_for_recording	notes
zone.above.default.1	instruction	zone.above	above_zone	HR	Ease back slightly.	Ro ned litt.	active	keep	no			primary HR correction
zone.above.default.2	instruction	zone.above	above_zone	HR	Heart rate slightly above target.	Pulsen er litt høy.	active	keep	no			secondary HR correction
zone.below.default.1	instruction	zone.below	below_zone	HR	Pick it up.	Øk litt nå.	active	keep	no			primary HR correction
zone.in_zone.default.1	instruction	zone.in_zone	in_zone	HR	Stay right here.	Bli her.	active	keep	no			primary HR hold cue
zone.in_zone.default.2	instruction	zone.in_zone	in_zone	HR	You are in correct zone.	Hold tempoet.	active	keep	no			active HR hold cue
zone.in_zone.default.3	instruction	zone.in_zone	in_zone	HR	Hold this phase.	Hold dette tempoet.	active	keep	no			active HR hold cue
zone.silence.default.1	instruction	zone.silence	max_silence_hold	BOTH	Find your pace.	Finn rytmen.	active	keep	no			low-urgency hold guidance
zone.silence.rest.1	instruction	zone.silence	max_silence_hold	BOTH	Relax your shoulders.	Senk skuldrene.	active	keep	no			low-urgency hold guidance
zone.silence.work.1	instruction	zone.silence	max_silence_hold	BOTH	Hold the rhythm.	Hold rytmen.	active	keep	no			low-urgency hold guidance
zone.structure.finish.1	instruction	zone.structure.finish	final_effort	NO_HR	Final push now. Finish strong.	Siste drag nå. Avslutt sterkt.	active	keep	no			primary no-HR finish cue
zone.structure.recovery.1	instruction	zone.structure.recovery	recovery_start	NO_HR	Recovery now. Ease off and reset.	Pause nå. Ro ned og hent deg inn.	active	keep	no			primary no-HR recovery cue
zone.structure.steady.1	instruction	zone.structure.steady	steady_run	NO_HR	Easy pace now. Keep it steady.	Rolig tempo nå. Hold det jevnt.	active	keep	no			primary no-HR steady cue
zone.structure.steady.2	instruction	zone.structure.steady	steady_run	NO_HR	Stay with the rhythm.	Bli i rytmen.	active	keep	no			no-HR steady cue
zone.structure.steady.3	instruction	zone.structure.steady	steady_run	NO_HR	Stay smooth and relaxed.	Rolig og avslappet.	active	keep	no			no-HR steady cue
zone.structure.steady.4	instruction	zone.structure.steady	steady_run	NO_HR	Control the effort here.	Kontroll på innsatsen.	active	keep	no			no-HR steady cue
zone.structure.steady.5	instruction	zone.structure.steady	steady_run	NO_HR	Keep the pace steady.	Hold tempoet jevnt.	active	keep	no			no-HR steady cue
zone.structure.steady.6	instruction	zone.structure.steady	steady_run	NO_HR	Hold the phase.	Hold det her.	active	keep	no			no-HR steady cue
zone.structure.work.1	instruction	zone.structure.work	interval_start	NO_HR	Interval starts now. Bring up the pace.	Drag starter nå. Øk farten.	active	keep	no			primary no-HR work cue
zone.hr_poor_enter.1	context	zone.hr_poor_enter	hr_signal_lost	HR	Heart rate signal is weak.	Pulssignalet er svakt.	active	keep	no			HR-dependent context
zone.hr_poor_exit.1	context	zone.hr_poor_exit	hr_signal_restored	HR	Heart rate is back.	Pulsen er tilbake.	active	keep	no			HR-dependent context
